pseoInstitutionId,name,state,city,lat,lon,tuitionInState,tuitionOutState,roomCost,bookCost,totalCostEstimate,loanPrincipal,pellGrantRate,federalLoanRate,studentsWithAnyLoan,medianDebtOverall,completerDebt,monthlyPayment,gradCohort,gradCohortYears,y1P25Earnings,y1P50Earnings,y1P75Earnings,y1GradsEarn,y1IpedsCount,earningsDebtRatio,matchMethod
00950700,Georgia Highlands College,GA,Rome,34.169791,-85.207356,3344,9696,8372,1200,12916,6500,0.4154,0.2129,0.490201342,6500,11104,111.0,2019,3,42214,60272,87955,296,319,5.43,exact
00156900,Georgia Institute of Technology,GA,Atlanta,33.77242,-84.394832,12852,33964,12090,800,25742,20250,0.1321,0.2263,0.813718663,20250,22250,222.43,2019,3,61461,80327,99538,7868,11495,3.61,manual
00157200,Georgia Southern University,GA,Statesboro,32.426153,-81.784045,6485,17539,10136,1200,17821,16500,0.3638,0.4906,0.889981147,16500,23250,232.42,2019,3,30519,44915,62880,8718,13283,1.93,exact
00157300,Georgia Southwestern State University,GA,Americus,32.054662,-84.217738,5464,16186,8420,1200,15084,11863,0.3799,0.4512,0.846153846,11863,20100,200.93,2019,3,31227,42869,61969,916,1223,2.13,exact
00157400,Georgia State University,GA,Atlanta,33.7527,-84.38667,9286,24517,15592,2000,26878,12000,0.4934,0.4923,0.695005314,12000,21500,214.93,2019,3,28176,41672,59505,9703,16015,1.94,exact
02244900,Goodwin University,CT,East Hartford,41.742977,-72.64032,20998,20998,6200,1000,28198,13898,0.7737,0.5028,0.881734141,13898,31096,310.86,2019,3,48213,71863,93929,426,505,2.31,exact
00157500,Gordon State College,GA,Barnesville,33.04571,-84.154508,3789,10695,9167,1340,14296,8250,0.4887,0.4544,0.755463918,8250,16450,164.45,2019,3,31322,42527,63808,521,691,2.59,exact
00200600,Grambling State University,LA,Grambling,32.523797,-92.713245,7635,16658,10990,1800,20425,24727,0.7598,0.8476,0.968057922,24727,36750,367.38,2019,3,23488,32740,44849,1006,1665,0.89,exact
00357000,Grayson College,TX,Denison,33.70574,-96.633891,2702,5312,6946,1000,10648,6865,0.3239,0.1192,0.354231975,6865,11584,115.8,2019,3,75672,93504,114831,118,83,8.07,exact
00235300,Gustavus Adolphus College,MN,Saint Peter,44.323626,-93.972196,48789,48789,10430,900,60119,24250,0.2825,0.6245,0.954965358,24250,27000,269.91,2019,3,32172,45505,59959,1136,1609,1.69,exact
00235400,Hamline University,MN,Saint Paul,44.966246,-93.164479,45145,45145,10810,690,56645,15750,0.3884,0.6609,0.923146474,15750,23500,234.92,2019,3,28271,40342,53222,1168,1686,1.72,exact
00371300,Hampden Sydney College,VA,Hampden-Sydney,37.240615,-78.464216,48110,48110,13876,1200,63186,19500,0.1662,0.5368,0.956632653,19500,27000,269.91,2019,3,34877,49768,61243,441,689,1.84,exact
00371400,Hampton University,VA,Hampton,37.019944,-76.339161,29312,29312,12986,1100,43398,18500,0.3484,0.5942,0.93495935,18500,26000,259.91,2019,3,28725,43925,66729,1267,2035,1.69,exact
00246600,Harris - Stowe State University,MO,Saint Louis,38.631744,-90.224288,5484,10116,9691,800,15975,10530,0.7589,0.7227,0.763705104,10530,27655,276.46,2019,3,27289,37074,47310,487,588,1.34,exact
00371500,Hollins University,VA,Roanoke,37.354201,-79.943277,40110,40110,14300,800,55210,25000,0.3593,0.6692,0.952261307,25000,27000,269.91,2019,3,23866,32662,43476,293,539,1.21,exact
00169200,Illinois State University,IL,Normal,40.509403,-88.990058,15319,26843,9850,820,25989,16000,0.3041,0.554,0.915322581,16000,20000,199.93,2019,3,34880,47264,61465,10861,14371,2.36,exact
00180700,Indiana State University,IN,Terre Haute,39.469073,-87.407846,9466,20570,11016,1200,21682,14000,0.393,0.558,0.863613572,14000,23457,234.49,2019,3,32766,44919,62792,3980,5949,1.91,exact
00180900,Indiana University - Bloomington,IN,Bloomington,39.16609,-86.526559,11221,37600,11206,930,23357,15712,0.1808,0.303,0.846608657,15712,19500,194.94,2019,3,35219,53005,74616,14683,23745,2.72,exact
00181100,Indiana University - East,IN,Richmond,39.868707,-84.881923,7715,20574,8040,930,16685,12000,0.3589,0.394,0.764364481,12000,18120,181.14,2019,3,35112,47956,67794,1623,2065,2.65,exact
00181400,Indiana University - Kokomo,IN,Kokomo,40.460062,-86.132048,7715,20574,8040,930,16685,11000,0.3651,0.4133,0.728553137,11000,17994,179.88,2019,3,33232,46644,68246,1371,1653,2.59,exact
00181500,Indiana University - Northwest,IN,Gary,41.557324,-87.337249,7715,20574,8040,930,16685,12500,0.4259,0.4157,0.731368187,12500,22500,224.93,2019,3,32070,45214,61656,1262,1705,2.01,exact
00181300,Indiana University - Purdue University Indianapolis,IN,Indianapolis,39.772948,-86.172217,9944,31626,10152,930,21026,13741,0.355,0.4049,0.77959946,13741,20382,203.75,2019,3,34620,48396,65156,9380,13418,2.37,exact
00181600,Indiana University - South Bend,IN,South Bend,41.665324,-86.221991,7715,20574,8958,930,17603,11403,0.4109,0.4346,0.73153527,11403,21447,214.4,2019,3,31473,43967,58927,1732,2384,2.05,exact
00181700,Indiana University Southeast,IN,New Albany,38.345191,-85.819985,7715,20574,10382,930,19027,11500,0.3621,0.3671,0.711620017,11500,19693,196.86,2019,3,31452,42720,56354,1815,2464,2.17,exact
00372100,James Madison University,VA,Harrisonburg,38.436311,-78.870484,12330,29230,11348,1082,24760,17076,0.1431,0.3487,0.899397136,17076,20500,204.93,2019,3,31108,47929,67813,9976,14540,2.34,exact
00170000,Judson University,IL,Elgin,42.061754,-88.291336,29870,29870,10790,1270,41930,14000,0.4216,0.6558,0.907308378,14000,24899,248.91,2019,3,30341,40793,55464,429,629,1.64,exact
00157700,Kennesaw State University,GA,Kennesaw,34.038807,-84.583052,6436,17690,12947,1500,20883,15631,0.3359,0.4235,0.830065812,15631,24000,239.92,2019,3,33923,49609,66161,12465,16961,2.07,exact
00358100,Lamar University,TX,Beaumont,30.042738,-94.072244,8591,18407,9064,1200,18855,13000,0.4081,0.4272,0.820932317,13000,21119,211.12,2019,3,35405,52603,75725,3881,5375,2.49,exact
00343500,Lander University,SC,Greenwood,34.199892,-82.164736,11700,21300,10570,1200,23470,12306,0.4338,0.625,0.902578797,12306,25608,256.0,2019,3,27872,38419,50643,1156,1550,1.5,exact
00170700,Lewis University,IL,Romeoville,41.605432,-88.079032,34478,34478,11050,1500,47028,19500,0.3292,0.548,0.910318226,19500,22746,227.38,2019,3,33328,49142,67746,2644,3496,2.16,exact
02053000,Liberty University,VA,Lynchburg,37.350232,-79.18222,21587,21587,11273,1299,34159,15909,0.4172,0.5511,0.86420932,15909,25000,249.92,2019,3,32217,47096,67718,17078,29142,1.88,exact
02074800,Life University,GA,Marietta,33.932781,-84.514729,13596,13596,14400,2400,30396,9500,0.3914,0.57,0.907662083,9500,16801,167.95,2019,3,25627,35940,50767,162,395,2.14,exact
00343600,Limestone University,SC,Gaffney,35.057076,-81.649161,26300,26300,9900,2304,38504,17250,0.5184,0.7387,0.94270557,17250,27725,277.16,2019,3,30149,41529,55218,794,1341,1.5,exact
00247900,Lincoln University,MO,Jefferson City,38.564431,-92.166724,8370,15360,9122,2000,19492,15750,0.5019,0.6479,0.889558233,15750,30375,303.65,2019,3,29102,38921,53183,657,850,1.28,exact
00371900,Longwood University,VA,Farmville,37.301137,-78.39575,13910,30350,12076,1350,27336,18760,0.2568,0.5349,0.925256178,18760,25000,249.92,2019,3,29834,43463,54942,1850,2621,1.74,exact
00201000,Louisiana State University & Agricultural & Mechanical College,LA,Baton Rouge,30.414986,-91.178921,11962,28639,12708,1038,25708,13500,0.2387,0.3072,0.79916318,13500,20500,204.93,2019,3,28185,44411,64188,8752,14868,2.17,exact
00806700,Louisiana State University Health Sciences Center in Shreveport,LA,Shreveport,32.480683,-93.761018,,,,,,15719,0.2424,0.5758,,15719,15719,,2019,3,52636,62818,72585,44,51,4.0,fuzzy
00201100,Louisiana State University at Alexandria,LA,Alexandria,31.178616,-92.414409,6638,14024,7950,1220,15808,10743,0.4105,0.4374,0.752854265,10743,20500,204.93,2019,3,32586,47101,74301,1035,1272,2.3,fuzzy
00201300,Louisiana State University in Shreveport,LA,Shreveport,32.428465,-93.70561,7160,20314,8744,1300,17204,13710,0.3795,0.3718,0.78122449,13710,22250,222.43,2019,3,28227,41364,57189,815,1272,1.86,fuzzy
00200800,Louisiana Tech University,LA,Ruston,32.528297,-92.649963,10065,16807,8664,1242,19971,14567,0.2328,0.3351,0.804376658,14567,22352,223.45,2019,3,29410,45952,65341,2810,4542,2.06,exact
00171000,Loyola University Chicago,IL,Chicago,42.000765,-87.656872,46060,46060,14780,1200,62040,19875,0.2337,0.548,0.902449889,19875,24194,241.86,2019,3,33838,50750,69555,6407,9398,2.1,exact
00235800,Macalester College,MN,Saint Paul,44.938565,-93.168053,58478,58478,13084,1213,72775,19270,0.1864,0.4433,0.931906615,19270,22500,224.93,2019,3,32791,49035,71626,1206,1869,2.18,exact
00381500,Marshall University,WV,Huntington,38.422482,-82.428964,8512,19366,10644,1100,20256,17249,0.3781,0.4722,0.831049091,17249,23958,239.5,2019,3,27488,39794,58170,2909,5008,1.66,exact
00372300,Mary Baldwin University,VA,Staunton,38.153884,-79.069273,31110,31110,9730,900,41740,12950,0.5545,0.8318,0.931125828,12950,26965,269.56,2019,3,29148,42163,57090,485,665,1.56,exact
00372400,Marymount University,VA,Arlington,38.905562,-77.128785,34540,34540,14400,1000,49940,20000,0.2822,0.4815,0.921259843,20000,25000,249.92,2019,3,34463,53149,71780,1021,1731,2.13,exact
00201700,McNeese State University,LA,Lake Charles,30.178187,-93.217222,8382,16420,9062,1300,18744,12185,0.3098,0.3806,0.76069869,12185,22534,225.27,2019,3,31918,46587,62888,2142,3182,2.07,exact
01037400,Metropolitan State University,MN,Saint Paul,44.957256,-93.074361,8249,15673,11244,1500,20993,13125,0.453,0.4187,0.769455035,13125,17012,170.06,2019,3,39371,54786,73230,4241,5773,3.22,exact
00136000,Metropolitan State University of Denver,CO,Denver,39.744202,-105.00504,8693,23967,11799,1400,21892,12148,0.3506,0.3912,0.756336476,12148,21500,214.93,2019,3,33009,46463,62768,6900,9496,2.16,exact
00158100,Middle Georgia State University,GA,Macon,32.808092,-83.732058,4060,11407,8410,1275,13745,9500,0.454,0.4307,0.77238806,9500,19564,195.58,2019,3,32592,46124,65381,1928,2615,2.36,exact
00979700,Midland College,TX,Midland,32.029646,-102.106153,2730,5610,5250,1729,9709,6300,0.2025,0.0215,0.155141311,6300,14875,148.7,2019,3,41244,58858,82803,50,64,3.96,exact
00359200,Midwestern State University,TX,Wichita Falls,33.874809,-98.519386,9796,11746,9504,1050,20350,14567,0.3963,0.4698,0.822719449,14567,22067,220.6,2019,3,35837,55711,79904,2767,3560,2.52,exact
00172400,Millikin University,IL,Decatur,39.842612,-88.976298,39592,39592,12210,1000,52802,19500,0.3618,0.655,0.941473259,19500,27000,269.91,2019,3,29274,42371,56626,982,1321,1.57,exact
00236500,Minneapolis College of Art & Design,MN,Minneapolis,44.956988,-93.274705,41794,41794,8380,3164,53338,18230,0.3724,0.8688,0.948320413,18230,26500,264.91,2019,3,22834,30696,41244,256,432,1.16,exact
00236700,Minnesota State University Moorhead,MN,Moorhead,46.867153,-96.759532,8980,16612,9656,1000,19636,15000,0.2984,0.5493,0.919609665,15000,20500,204.93,2019,3,31978,44436,56701,2576,3443,2.17,exact
00236000,"Minnesota State University, Mankato",MN,Mankato,44.146712,-93.99945,8566,16984,10078,1042,19686,14995,0.2455,0.5097,0.910270671,14995,21500,214.93,2019,3,34064,48707,66466,5593,7468,2.27,exact
00248800,Missouri Southern State University,MO,Joplin,37.095155,-94.461689,6964,13928,7209,902,15075,11500,0.4343,0.4464,0.752790545,11500,19168,191.62,2019,3,29762,41093,55444,2202,2920,2.14,exact
00250300,Missouri State University,MO,Springfield,37.199258,-93.281281,7938,16608,9284,1314,18536,16250,0.2508,0.4102,0.858695652,16250,22412,224.05,2019,3,28011,38771,50972,7529,11108,1.73,manual
