pseoInstitutionId,name,state,city,lat,lon,tuitionInState,tuitionOutState,roomCost,bookCost,totalCostEstimate,loanPrincipal,pellGrantRate,federalLoanRate,studentsWithAnyLoan,medianDebtOverall,completerDebt,monthlyPayment,gradCohort,gradCohortYears,y1P25Earnings,y1P50Earnings,y1P75Earnings,y1GradsEarn,y1IpedsCount,y5P25Earnings,y5P50Earnings,y5P75Earnings,y5GradsEarn,y5IpedsCount,y10P25Earnings,y10P50Earnings,y10P75Earnings,y10GradsEarn,y10IpedsCount,earningsDebtRatio,matchMethod
00364600,Texas Woman's University,TX,Denton,33.226211,-97.127842,8255,18071,9730,1050,19035,14000,0.39,0.4388,0.823440535,14000,19845,198.38,2007,3,35029,54828,75073,3296,4330,47390,64918,87097,3575,4330,55821,76193,103371,3509,4330,2.76,exact
00249500,Truman State University,MO,Kirksville,40.188267,-92.581658,8299,15659,9185,1000,18484,16000,0.1853,0.3572,0.88799505,16000,21500,214.93,2007,3,24704,33824,48276,1616,3595,40856,54885,73029,2529,3595,52948,73516,105983,2685,3595,1.57,exact
00312300,University of Akron (The),OH,Akron,41.078551,-81.511679,11881,17765,12296,1000,25177,16000,0.2935,0.4274,0.871297939,16000,24411,244.03,2007,3,29947,44658,62547,4797,7154,42550,58531,78347,5677,7154,53173,74601,107142,5779,7154,1.83,exact
00105100,University of Alabama,AL,Tuscaloosa,33.211875,-87.545978,11620,31090,13810,1000,26430,17671,0.1718,0.3644,0.910741139,17671,23072,230.64,2007,3,28879,41579,57650,6354,10798,43788,59601,80468,8365,10798,55639,78850,117766,8367,10798,1.8,manual
00105500,University of Alabama in Huntsville,AL,Huntsville,34.724557,-86.640449,11338,23734,10652,2200,24190,14000,0.2403,0.3855,0.865215571,14000,21450,214.43,2007,3,37321,54034,72476,1762,2736,48795,69005,92355,1831,2736,60546,88048,122519,1832,2736,2.52,manual
00108300,University of Arizona (The),AZ,Tucson,32.232672,-110.950815,12716,36743,13350,800,26866,14198,0.2875,0.3328,0.792839098,14198,20137,201.3,2007,3,29436,43193,61972,9836,17221,43070,61475,87267,11793,17221,57485,86091,131474,12408,17221,2.14,exact
00245400,University of Central Missouri,MO,Warrensburg,38.759111,-93.737428,8306,15434,9196,1250,18752,16500,0.2873,0.4508,0.87137637,16500,21500,214.93,2007,3,27874,38316,50088,3319,4748,38239,49925,66095,3681,4748,45791,61960,88714,3714,4748,1.78,exact
00312500,University of Cincinnati,OH,Cincinnati,39.131159,-84.51428,12138,27472,11874,1200,25212,12000,0.2013,0.4378,0.873045005,12000,21537,215.3,2007,3,33311,49509,68159,7672,10526,45306,62519,85823,8510,10526,58223,82916,117663,8578,10526,2.3,exact
00137000,University of Colorado Boulder,CO,Boulder,40.008781,-105.270823,12466,38284,15220,1200,28886,13000,0.1547,0.2634,0.868734336,13000,19500,194.94,2007,3,27585,40009,58119,9671,16999,42604,61932,88113,11334,16999,62163,90642,136348,12253,16999,2.05,exact
00450900,University of Colorado Colorado Springs,CO,Colorado Springs,38.892735,-104.800296,8580,20220,10920,1800,21300,12500,0.3021,0.3985,0.809207709,12500,20498,204.91,2007,3,28221,39738,56519,2051,3638,38357,54699,74322,2353,3638,48547,70991,100744,2499,3638,1.94,exact
